Titulo,Problema,descripcion,Fecha creacion,etapa,Usuario creador,N° Likes,N° actualizaciones,N de post en el muro interno,N° integrantes,Tags
Perro pieda,le gustan mucho las piedras,"vida submarina, el perro era tiburón todo este tiempo",2017-08-18,1,jeje,1,0,0,1,n iguallegustanlaspiedras
ads,ddddd,sdd,2017-08-18,1,jeje,1,3,4,2,c c c c c c c c c c c c c c c c c c c c c c c c
asddd,dsds,asdadsdas,2017-08-18,1,jeje,0,0,0,1,h
jo,ka,asddsa,2017-08-18,1,jeje,1,1,0,1,c
sad,ds,asdd,2017-08-18,1,jeje,0,0,0,1,h
asd,asd,asdd,2017-08-18,1,jeje,1,1,7,2,c c c c c c c c c c c c c c
das,dssd,asdddd,2017-08-18,1,jijo,1,0,0,2,m m
asddd,ddddd,asddd,2017-08-18,1,jijo,0,0,0,1,j
sdd,ddd,asddd,2017-08-18,1,jijo,0,0,0,1,j
ddd,sd,asasd,2017-08-18,1,jijo,0,0,0,1,p
La aventura lego,legos necesitan mas amor,jejeje xd,2017-08-29,1,jeje,0,0,2,2,e e e e
asd,ds,sss,2017-08-29,1,jeje,1,0,0,1,k
SI?,d,aaaa,2017-08-29,1,jeje,0,0,0,1,k
yapo,que,onda,2017-08-29,1,jeje,0,0,0,1,b
que tal si hacemos un muñeco,no tiene que ser un muñeco,elsa pallo,2017-08-31,Fin,llon,3,6,13,3,d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d 
mmmm,aaa,asddd,2017-09-25,2,jeje,2,0,4,2,m m m m m m m m m m m m m m m m
mi mamá me mima,Sería bueno que todas las mamas mimaran a todos,me quiere mas que el manjar colún&nbsp;,2017-09-26,1,llon,0,0,0,1,b
Mis hermanos son bacanes,Debería existir un día del hermano,"si hay dia del padre y de la madre, porqué no del hermano?",2017-09-26,1,llon,1,0,0,1,q
un laik,para mi,jeje,2017-09-26,3,jeje,11,5,4,3,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 
ahora,si?,jajap,2017-10-22,2,jeje,2,3,11,2,f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f
